믹스견,mixedDog
기타,etc
오스트레일리언 캐틀 독,australianCattleDog
오스트레일리언 셰퍼드,australianShepherd
비어디드 콜리,beardedCollie
보더 콜리,borderCollie
부비에 데 플랑드르,bouvierDesFlandres
벨지안 셰퍼드 독,belgianShepherdDog
러프 콜리,collieRough
스무스 콜리,collieSmooth
코몬도르,komondor
올드 잉글리쉬 쉽독,oldEnglishSheepdog
풀리,puli
저먼 셰퍼드 독,germanShepherdDog
셰틀랜드 쉽독,shetlandSheepdog
웰시 코기 카디건,welshCorgiCardigan
웰시 코기 펨브로크,welshCorgiPembroke
체코슬로바키안 울프독,czechoslovakianWolfdog
아펜핀셔,affenpinscher
불독,bulldog
불마스티프,bullmastiff
버니즈 마운틴 독,berneseMountainDog
복서,boxer
도고 아르헨티노,dogoArgentino
도베르만,dobermann
프레사 까나리오,presaCanario
그레이트 덴,greatDane
피레니언 마운틴 독,pyreneanMountainDog
자이언트 슈나우저,giantSchnauzer
레온베르거,leonberger
마스티프,mastiff
미니어쳐 핀셔,miniaturePinscher
미니어쳐 슈나우저,miniatureSchnauzer
뉴펀들랜드,newfoundland
네오폴리탄 마스티프,neapolitanMastiff
로트바일러,rottweiler
세인트 버나드,st.Bernard
슈나우저,schnauzer
도사,tosa
티베탄 마스티프,tibetanMastiff
케인 코르소 이탈리아노,caneCorsoItaliano
샤페이,sharPei
센트럴 아시아 셰퍼드독,centralAsiaShepherdDog
코카시안 셰퍼드독,caucasianShepherdDog
필라 브라질레이로,filaBrasileiro
아메리칸 스태포드셔 테리어,americanStaffordshireTerrier
에어데일 테리어,airedaleTerrier
베들링턴 테리어,bedlingtonTerrier
불 테리어,bullTerrier
케언 테리어,cairnTerrier
댄디 딘몬트 테리어,dandieDinmontTerrier
저먼 헌팅 테리어,germanHuntingTerrier
아이리쉬 소프트 코티드 휘튼 테리어,irishSoftCoatedWheatenTerrier
잭 러셀 테리어,jackRussellTerrier
케리 블루 테리어,kerryBlueTerrier
레이크랜드 테리어,lakelandTerrier
미니어쳐 불 테리어,miniatureBullTerrier
맨체스터 테리어,manchesterTerrier
노퍽 테리어,norfolkTerrier
노리치 테리어,norwichTerrier
파슨 러셀 테리어,parsonRussellTerrier
스무스 폭스 테리어,smoothFoxTerrier
실리햄 테리어,sealyhamTerrier
스카이 테리어,skyeTerrier
스코티쉬 테리어,scottishTerrier
와이어 폭스 테리어,wireFoxTerrier
웰시 테리어,welshTerrier
웨스트 하일랜드 화이트 테리어,westHighlandWhiteTerrier
요크셔 테리어,yorkshireTerrier
닥스훈트,dachshund
호카이도,hokkaido
알라스칸 말라뮤트,alaskanMalamute
바센지,basenji
차우차우,chowChow
아메리칸 아키타,americanAkita
시베리안 허스키,siberianHusky
진돗개,koreaJindoDog
아키타,akita
키슈,kishu
시바,shiba
시코쿠,shikoku
키스혼드,keeshond
노르위전 엘크하운드 (블랙),norwegianElkhoundBlack
노르위전 엘크하운드 (그레이),norwegianElkhoundGrey
포메라니안,pomeranian
파라오 하운드,pharaohHound
사모예드,samoyed
재패니즈 스피츠,japaneseSpitz
타이 리지백 독,thaiRidgebackDog
이스트 시베리안 라이카,eastSiberianLaika
웨스트 시베리안 라이카,westSiberianLaika
타이완 독,taiwanDog
미디엄 스피츠,mediumSpitz
미니어처 스피츠,miniatureSpitz
자이언트 스피츠,giantSpitz
비글,beagle
바셋 하운드,bassetHound
블랙 앤 탄 쿤 하운드,blackAndTanCoonhound
달마시안,dalmatian
쁘띠 바셋 그리폰 벤딘,petitBassetGriffonVendeen
로디지안 리즈백,rhodesianRidgeback
블러드하운드,bloodhound
브리타니 스파니엘,brittanySpaniel
잉글리쉬 포인터,englishPointer
잉글리쉬 세터,englishSetter
저먼 숏 헤어드 포인팅 독,germanShortHairedPointingDog
저먼 와이어 헤어드 포인팅 독,germanWireHairedPointingDog
아이리쉬 레드 앤 화이트 세터,irishRedAndWhiteSetter
라지 먼스터랜더,largeMunsterlander
비즐라,vizsla
바이마라너,weimaraner
아이리쉬 레드 세터,irishRedSetter
아메리칸 코커 스파니엘,americanCockerSpaniel
잉글리쉬 코커 스파니엘,englishCockerSpaniel
플랫 코티드 리트리버,flatCoatedRetriever
아이리쉬 워터 스파니엘,irishWaterSpaniel
래브라도 리트리버,labradorRetriever
노바 스코샤 덕 톨링 리트리버,novaScotiaDuckTollingRetriever
포르투기즈 워터 독,portugueseWaterDog
골든 리트리버,goldenRetriever
잉글리쉬 스프링거 스파니엘,englishSpringerSpaniel
비숑 프리제,bichonFrise
브뤼셀 그리폰,griffonBruxellois
보스턴 테리어,bostonTerrier
차이니즈 크레스티드 독,chineseCrestedDog
치와와,chihuahua
프렌치 불독,frenchBulldog
캐벌리어 킹 찰스 스파니엘,cavalierKingCharlesSpaniel
킹 찰스 스파니엘,kingCharlesSpaniel
라사 압소,lhasaApso
말티즈,maltese
퍼그,pug
페키니즈,pekingese
빠삐용,papillon
시츄,shihTzu
꼬똥 드 툴레아,cotonDeTulear
티베탄 테리어,tibetanTerrier
리틀 라이언 독,littleLionDog
토이 푸들,toyPoodle
미디엄 푸들,mediumPoodle
미니어쳐 푸들,miniaturePoodle
스탠다드 푸들,standardPoodle
제패니즈 친,japaneseChin
아프간 하운드,afghanHound
보르조이,borzoi
디어하운드,deerhound
그레이하운드,greyhound
아이리쉬 울프하운드,irishWolfhound
이탈리언 그레이하운드,italianGreyhound
살루키,saluki
휘핏,whippet
아자와크,azawakh
